EPotencial:	ECinetica:	ETotal:
-0.122644,	0.061746,	-0.060898
-0.122867,	0.061858,	-0.061009
-0.123089,	0.061970,	-0.061119
-0.123312,	0.062082,	-0.061230
-0.123535,	0.062194,	-0.061340
-0.123757,	0.062306,	-0.061451
-0.123980,	0.062418,	-0.061561
-0.124202,	0.062530,	-0.061672
-0.124425,	0.062642,	-0.061783
-0.124647,	0.062754,	-0.061893
-0.124870,	0.062867,	-0.062004
-0.125093,	0.062979,	-0.062114
-0.125315,	0.063091,	-0.062225
-0.125538,	0.063203,	-0.062335
-0.125760,	0.063315,	-0.062446
-0.125983,	0.063427,	-0.062556
-0.126206,	0.063539,	-0.062667
-0.126428,	0.063651,	-0.062777
-0.126651,	0.063763,	-0.062888
-0.126873,	0.063875,	-0.062998
-0.127096,	0.063987,	-0.063109
-0.127319,	0.064099,	-0.063219
-0.127541,	0.064211,	-0.063330
-0.127764,	0.064323,	-0.063440
-0.127986,	0.064436,	-0.063551
-0.128209,	0.064548,	-0.063661
-0.128432,	0.064660,	-0.063772
-0.128654,	0.064772,	-0.063882
-0.128877,	0.064884,	-0.063993
-0.129099,	0.064996,	-0.064104
-0.129322,	0.065108,	-0.064214
-0.129545,	0.065220,	-0.064325
-0.129767,	0.065332,	-0.064435
-0.129990,	0.065444,	-0.064546
-0.130212,	0.065556,	-0.064656
-0.130435,	0.065668,	-0.064767
-0.130658,	0.065780,	-0.064877
-0.130880,	0.065892,	-0.064988
-0.131103,	0.066004,	-0.065098
-0.131325,	0.066117,	-0.065209
-0.131548,	0.066229,	-0.065319
-0.131771,	0.066341,	-0.065430
-0.131993,	0.066453,	-0.065540
-0.132216,	0.066565,	-0.065651
-0.132438,	0.066677,	-0.065761
-0.132661,	0.066789,	-0.065872
-0.132883,	0.066901,	-0.065982
-0.133106,	0.067013,	-0.066093
-0.133329,	0.067125,	-0.066203
-0.133551,	0.067237,	-0.066314
-0.133774,	0.067349,	-0.066425
-0.133996,	0.067461,	-0.066535
-0.134219,	0.067574,	-0.066646
-0.134442,	0.067686,	-0.066756
-0.134664,	0.067798,	-0.066867
-0.134887,	0.067910,	-0.066977
-0.135109,	0.068022,	-0.067088
-0.135332,	0.068134,	-0.067198
-0.135555,	0.068246,	-0.067309
-0.135777,	0.068358,	-0.067419
-0.136000,	0.068470,	-0.067530
-0.136222,	0.068582,	-0.067640
-0.136445,	0.068694,	-0.067751
-0.136668,	0.068806,	-0.067861
-0.136890,	0.068918,	-0.067972
-0.137113,	0.069030,	-0.068082
-0.137335,	0.069143,	-0.068193
-0.137558,	0.069255,	-0.068303
-0.137781,	0.069367,	-0.068414
-0.138003,	0.069479,	-0.068524
-0.138226,	0.069591,	-0.068635
-0.138448,	0.069703,	-0.068745
-0.138671,	0.069815,	-0.068856
-0.138894,	0.069927,	-0.068967
-0.139116,	0.070039,	-0.069077
-0.139339,	0.070151,	-0.069188
-0.139561,	0.070263,	-0.069298
-0.139784,	0.070375,	-0.069409
-0.140007,	0.070487,	-0.069519
-0.140229,	0.070599,	-0.069630
-0.140452,	0.070712,	-0.069740
-0.140674,	0.070824,	-0.069851
-0.140897,	0.070936,	-0.069961
-0.141120,	0.071048,	-0.070072
-0.141342,	0.071160,	-0.070182
-0.141565,	0.071272,	-0.070293
-0.141787,	0.071384,	-0.070403
-0.142010,	0.071496,	-0.070514
-0.142232,	0.071608,	-0.070624
-0.142455,	0.071720,	-0.070735
-0.142678,	0.071832,	-0.070845
-0.142900,	0.071944,	-0.070956
-0.143123,	0.072056,	-0.071066
-0.143345,	0.072168,	-0.071177
-0.143568,	0.072281,	-0.071288
-0.143791,	0.072393,	-0.071398
-0.144013,	0.072505,	-0.071509
-0.144236,	0.072617,	-0.071619
-0.144458,	0.072729,	-0.071730
-0.144681,	0.072841,	-0.071840
-0.144904,	0.072953,	-0.071951
-0.145126,	0.073065,	-0.072061
-0.145349,	0.073177,	-0.072172
-0.145571,	0.073289,	-0.072282
-0.145794,	0.073401,	-0.072393
-0.146017,	0.073513,	-0.072503
-0.146239,	0.073625,	-0.072614
-0.146462,	0.073737,	-0.072724
-0.146684,	0.073850,	-0.072835
-0.146907,	0.073962,	-0.072945
-0.147130,	0.074074,	-0.073056
-0.147352,	0.074186,	-0.073166
-0.147575,	0.074298,	-0.073277
-0.147797,	0.074410,	-0.073387
-0.148020,	0.074522,	-0.073498
-0.148243,	0.074634,	-0.073609
-0.148465,	0.074746,	-0.073719
-0.148688,	0.074858,	-0.073830
-0.148910,	0.074970,	-0.073940
-0.149133,	0.075082,	-0.074051
-0.149356,	0.075194,	-0.074161
-0.149578,	0.075307,	-0.074272
-0.149801,	0.075419,	-0.074382
-0.150023,	0.075531,	-0.074493
-0.150246,	0.075643,	-0.074603
-0.150469,	0.075755,	-0.074714
-0.150691,	0.075867,	-0.074824
-0.150914,	0.075979,	-0.074935
-0.151136,	0.076091,	-0.075045
-0.151359,	0.076203,	-0.075156
-0.151582,	0.076315,	-0.075266
-0.151804,	0.076427,	-0.075377
-0.152027,	0.076539,	-0.075487
-0.152249,	0.076651,	-0.075598
-0.152472,	0.076763,	-0.075708
-0.152695,	0.076876,	-0.075819
-0.152917,	0.076988,	-0.075930
-0.153140,	0.077100,	-0.076040
-0.153362,	0.077212,	-0.076151
-0.153585,	0.077324,	-0.076261
-0.153808,	0.077436,	-0.076372
-0.154030,	0.077548,	-0.076482
-0.154253,	0.077660,	-0.076593
-0.154475,	0.077772,	-0.076703
-0.154698,	0.077884,	-0.076814
-0.154920,	0.077996,	-0.076924
-0.155143,	0.078108,	-0.077035
-0.155366,	0.078220,	-0.077145
-0.155588,	0.078332,	-0.077256
-0.155811,	0.078445,	-0.077366
-0.156033,	0.078557,	-0.077477
-0.156256,	0.078669,	-0.077587
-0.156479,	0.078781,	-0.077698
-0.156701,	0.078893,	-0.077808
-0.156924,	0.079005,	-0.077919
-0.157146,	0.079117,	-0.078029
-0.157369,	0.079229,	-0.078140
-0.157592,	0.079341,	-0.078251
-0.157814,	0.079453,	-0.078361
-0.158037,	0.079565,	-0.078472
-0.158259,	0.079677,	-0.078582
-0.158482,	0.079789,	-0.078693
-0.158705,	0.079902,	-0.078803
-0.158927,	0.080014,	-0.078914
-0.159150,	0.080126,	-0.079024
-0.159372,	0.080238,	-0.079135
-0.159595,	0.080350,	-0.079245
-0.159818,	0.080462,	-0.079356
-0.160040,	0.080574,	-0.079466
-0.160263,	0.080686,	-0.079577
-0.160485,	0.080798,	-0.079687
-0.160708,	0.080910,	-0.079798
-0.160931,	0.081022,	-0.079908
-0.161153,	0.081134,	-0.080019
